"TieneContadorEnLect";"Contadores";"Contrato";"Contador.dg";"Contador.lect"
"Ninguno";NA;"6393645";"D12UF128058K";NA
"Ninguno";NA;"6393703";NA;NA
"Ninguno";NA;"6441917";"12-134061";NA
"Ninguno";NA;"6493009";"I16BA262519C";NA
"Ninguno";NA;"6445184";"13-608043";NA
"Ninguno";NA;"6466578";"D15TA178919N";NA
"Ninguno";NA;"6510751";"D11TA835354Y";NA
"Ninguno";NA;"6353635";"12-544140";NA
"Ninguno";NA;"6507793";"12-130027";NA
"Ninguno";NA;"6490927";"D13TA608051P";NA
"Ninguno";NA;"6435719";"02-185452";NA
"Ninguno";NA;"6476884";"D13TC047155Q";NA
"Ninguno";NA;"6498806";"I16BA222407B";NA
"Ninguno";NA;"6555491";"D15TA156953X";NA
"Ninguno";NA;"6444852";"13-488638";NA
"Ninguno";NA;"6617939";"11-035377";NA
"Ninguno";NA;"6443504";"I18BA008731E";NA
"Ninguno";NA;"6583827";"I18BA008732F";NA
"Ninguno";NA;"6554189";"11-076678";NA
"Ninguno";NA;"6562518";"11-835316";NA
"Ninguno";NA;"6351306";"D12FE134047Z";NA
"Ninguno";NA;"6526845";"D11TA835626D";NA
"Ninguno";NA;"6465546";"14-047894";NA
"Ninguno";NA;"6443820";"D08TB002850";NA
"Ninguno";NA;"6581488";"D16TA073750P";NA
"Ninguno";NA;"6598948";"D15TA064898Y";NA
"Ninguno";NA;"6633396";"12-101820";NA
"Ninguno";NA;"6402166";"C18LA368444K";NA
"Ninguno";NA;"6482477";"D12FE126446N";NA
"Ninguno";NA;"6482866";"14-048236";NA
"Ninguno";NA;"6466802";"D14TA095290I";NA
"Ninguno";NA;"6456491";"12-134110";NA
"Ninguno";NA;"6357731";"D12FE126416H";NA
"Ninguno";NA;"6357842";"12-125180";NA
"Ninguno";NA;"6431116";"D12FE126436L";NA
"Ninguno";NA;"6443825";"12-134027";NA
"Ninguno";NA;"6373377";"D12FE134023R";NA
"Ninguno";NA;"6431410";"12-130121";NA
"Ninguno";NA;"6542447";"D12TD125218A";NA
"Ninguno";NA;"6408284";"I18BC065446I";NA
"Ninguno";NA;"6410203";"13-015905";NA
"Ninguno";NA;"6429031";"12-134092";NA
"Ninguno";NA;"6440338";"I17BA057952B";NA
"Ninguno";NA;"6620722";"C18LA402677D";NA
"Ninguno";NA;"6444399";"11-131438";NA
"Ninguno";NA;"6466879";"D11TB019366T";NA
"Uno";"Iguales";"6358890";"I18BB047427W";"I18BB047427W"
"Uno";"Iguales";"6373577";"D07UG082810I";"D07UG082810I"
"Uno";"CasiIguales";"6377878";"D12TD125274I";"D12TD125274"
"Uno";"Iguales";"6378402";"D15UF047653Y";"D15UF047653Y"
"Uno";"Iguales";"6386652";"D15IB000143R";"D15IB000143R"
"Uno";"Iguales";"6392760";"D09FE276035";"D09FE276035"
"Uno";"Iguales";"6393621";"I18BB036286S";"I18BB036286S"
"Uno";"Iguales";"6396364";"D12FE134090C";"D12FE134090C"
"Uno";"Iguales";"6400989";"I16BE113365D";"I16BE113365D"
"Uno";"Iguales";"6402165";"D15TA192404D";"D15TA192404D"
"Uno";"Iguales";"6402168";"D14TA049057S";"D14TA049057S"
"Uno";"Iguales";"6402171";"D14TA047942E";"D14TA047942E"
"Uno";"Iguales";"6402172";"D14TA094605D";"D14TA094605D"
"Uno";"Iguales";"6402214";"D13XF070289R";"D13XF070289R"
"Uno";"Iguales";"6406092";"D14FE043628B";"D14FE043628B"
"Uno";"Iguales";"6406280";"D14FE043794O";"D14FE043794O"
"Uno";"Iguales";"6408779";"D08FE397268";"D08FE397268"
"Uno";"Iguales";"6414872";"D10TC012095L";"D10TC012095L"
"Uno";"CasiIguales";"6416226";"D12FE126367P";"D12FE126367"
"Uno";"Iguales";"6429112";"D12FE127814V";"D12FE127814V"
"Uno";"Iguales";"6431097";"I16BE111357V";"I16BE111357V"
"Uno";"Iguales";"6431427";"I18BC065454I";"I18BC065454I"
"Uno";"Iguales";"6432723";"D15IB000456F";"D15IB000456F"
"Uno";"CasiIguales";"6436097";"D12FE134087H";"D12FE134087"
"Uno";"Iguales";"6439813";"D01TG072105";"D01TG072105"
"Uno";"Iguales";"6440366";"D15IB000157X";"D15IB000157X"
"Uno";"CasiIguales";"6441232";"D12FE130131E";"D12FE130131"
"Uno";"CasiIguales";"6441236";"D12FE130161K";"D12FE130161"
"Uno";"Iguales";"6441237";"I16BE101799M";"I16BE101799M"
"Uno";"Iguales";"6442236";"J20OA170432G";"J20OA170432G"
"Uno";"Iguales";"6443000";"D12FE126334G";"D12FE126334G"
"Uno";"Iguales";"6443006";"I18BC034343J";"I18BC034343J"
"Uno";"CasiIguales";"6443729";"D13TC094099M";"D13TC094099"
"Uno";"Iguales";"6444534";"D13FE028562B";"D13FE028562B"
"Uno";"Iguales";"6444851";"D11TA835356A";"D11TA835356A"
"Uno";"Iguales";"6447936";"D16FE056153W";"D16FE056153W"
"Uno";"Iguales";"6453067";"I20BB055009V";"I20BB055009V"
"Uno";"Iguales";"6453279";"I20BC050600R";"I20BC050600R"
"Uno";"Iguales";"6453281";"I20BC050588M";"I20BC050588M"
"Uno";"Iguales";"6456676";"D01TG072103";"D01TG072103"
"Uno";"Iguales";"6456678";"D01TG072106";"D01TG072106"
"Uno";"Iguales";"6456679";"D01TG072104";"D01TG072104"
"Uno";"CasiIguales";"6456680";"D12FE134022Q";"D12FE134022"
"Uno";"Iguales";"6457709";"D12TC103296P";"D12TC103296P"
"Uno";"Iguales";"6472973";"I18BA531187T";"I18BA531187T"
"Uno";"CasiIguales";"6481230";"D13TA607968V";"D13TA607968"
"Uno";"Iguales";"6501672";"D14FE134542B";"D14FE134542B"
"Uno";"Iguales";"6502668";"D12TD125343E";"D12TD125343E"
"Uno";"Iguales";"6510170";"D16IA025271E";"D16IA025271E"
"Uno";"CasiIguales";"6513165";"D12FE134084E";"D12FE134084"
"Uno";"Iguales";"6525295";"D15FE112283S";"D15FE112283S"
"Uno";"Iguales";"6525664";"D01TG075409";"D01TG075409"
"Uno";"CasiIguales";"6526565";"D13IA554230J";"D13IA554230"
"Uno";"CasiIguales";"6529935";"D11TA805993I";"D11TA805993"
"Uno";"Iguales";"6537194";"J19OA209084G";"J19OA209084G"
"Uno";"CasiIguales";"6547403";"D12FE134134X";"D12FE134134"
"Uno";"Iguales";"6558924";"D12FE134040S";"D12FE134040S"
"Uno";"CasiIguales";"6561597";"D11TC103518B";"D11TC103518"
"Uno";"CasiIguales";"6562156";"D13TA608049V";"D13TA608049"
"Uno";"Iguales";"6568029";"C18LA099545P";"C18LA099545P"
"Uno";"Iguales";"6598940";"D06TE128588";"D06TE128588"
"Uno";"CasiIguales";"6603717";"D11TA835555F";"D11TA835555"
"Uno";"Iguales";"6620670";"J20OA013369S";"J20OA013369S"
"Uno";"Iguales";"6626209";"I17MI035348J";"I17MI035348J"
"Uno";"Iguales";"6635588";"D15UG036400D";"D15UG036400D"
"Uno";"Iguales";"6647357";"D15FE116920O";"D15FE116920O"
"Varios";"Iguales";"6351960";"D12UF117329F";"D12UF117329F"
"Varios";"Iguales";"6353617";"D12UF117321X";"D12UF117321X"
"Varios";"Iguales";"6354706";"D12UF117326C";"D12UF117326C"
"Varios";"Iguales";"6355390";"D12FE134041T";"D12FE134041T"
"Varios";"Iguales";"6355405";"D12FE130097T";"D12FE130097T"
"Varios";"Iguales";"6357841";"D15TC052900C";"D15TC052900C"
"Varios";"Iguales";"6358872";"I16BE101802Q";"I16BE101802Q"
"Varios";"Iguales";"6361595";"D12FE130080K";"D12FE130080K"
"Varios";"Iguales";"6364682";"D15TC052962Q";"D15TC052962Q"
"Varios";"Iguales";"6369773";"I20BE010268T";"I20BE010268T"
"Varios";"Iguales";"6369836";"D16FE056139Y";"D16FE056139Y"
"Varios";"Iguales";"6373373";"D11TA833212D";"D11TA833212D"
"Varios";"Iguales";"6373376";"D12FE134039Z";"D12FE134039Z"
"Varios";"Iguales";"6373402";"D12FE134093F";"D12FE134093F"
"Varios";"Iguales";"6373793";"D12FE134007R";"D12FE134007R"
"Varios";"Iguales";"6377862";"D12TD123795U";"D12TD123795U"
"Varios";"Iguales";"6384426";"I19BD068758X";"I19BD068758X"
"Varios";"Iguales";"6391847";"D12FE099502T";"D12FE099502T"
"Varios";"Iguales";"6391856";"I20BE037286H";"I20BE037286H"
"Varios";"Iguales";"6394348";"D11FE149442W";"D11FE149442W"
"Varios";"CasiIguales";"6396185";"I20BE037282";"I20BE037282D"
"Varios";"Iguales";"6396198";"D12UF117316A";"D12UF117316A"
"Varios";"Iguales";"6396344";"D12TD125271F";"D12TD125271F"
"Varios";"Iguales";"6397734";"D12UF117317B";"D12UF117317B"
"Varios";"Iguales";"6397830";"I18BC047584P";"I18BC047584P"
"Varios";"Iguales";"6398496";"D11FE035438Z";"D11FE035438Z"
"Varios";"Iguales";"6400127";"D12UF117323Z";"D12UF117323Z"
"Varios";"Iguales";"6400489";"D11FE067297B";"D11FE067297B"
"Varios";"Iguales";"6400759";"D12TD123741G";"D12TD123741G"
"Varios";"Iguales";"6400993";"D13TA565056G";"D13TA565056G"
"Varios";"Iguales";"6400994";"D12FE126398W";"D12FE126398W"
"Varios";"Iguales";"6400997";"D16FE082446F";"D16FE082446F"
"Varios";"Iguales";"6401005";"D12TD123825J";"D12TD123825J"
"Varios";"Iguales";"6401855";"I16BC099294X";"I16BC099294X"
"Varios";"Iguales";"6406085";"D16FE056074Y";"D16FE056074Y"
"Varios";"Iguales";"6409317";"I20BD018749E";"I20BD018749E"
"Varios";"Iguales";"6410146";"I18BC065514D";"I18BC065514D"
"Varios";"Iguales";"6412073";"D12UF112770Y";"D12UF112770Y"
"Varios";"Iguales";"6416024";"I20BE032000L";"I20BE032000L"
"Varios";"Iguales";"6416203";"D12TD123906J";"D12TD123906J"
"Varios";"Iguales";"6420135";"I20BB055040U";"I20BB055040U"
"Varios";"Iguales";"6422694";"I20BE034522O";"I20BE034522O"
"Varios";"Iguales";"6429753";"D12TD087096O";"D12TD087096O"
"Varios";"Iguales";"6429769";"D11TC131437I";"D11TC131437I"
"Varios";"Iguales";"6429916";"I20BC064468A";"I20BC064468A"
"Varios";"Iguales";"6429987";"D15TC052862N";"D15TC052862N"
"Varios";"Iguales";"6430007";"D11TA835359D";"D11TA835359D"
"Varios";"Iguales";"6430564";"D12FE134058C";"D12FE134058C"
"Varios";"Iguales";"6430577";"D12FE134120R";"D12FE134120R"
"Varios";"Iguales";"6430918";"D12TD125190F";"D12TD125190F"
"Varios";"Iguales";"6431079";"D12FE134028W";"D12FE134028W"
"Varios";"Iguales";"6431126";"I17MF010302W";"I17MF010302W"
"Varios";"Iguales";"6431127";"D11TD059918L";"D11TD059918L"
"Varios";"Iguales";"6431268";"D16FE056079D";"D16FE056079D"
"Varios";"Iguales";"6431273";"D12XF114035G";"D12XF114035G"
"Varios";"Iguales";"6431327";"I16BE113374E";"I16BE113374E"
"Varios";"Iguales";"6431331";"I18BC065526H";"I18BC065526H"
"Varios";"Iguales";"6431414";"I20BE007801P";"I20BE007801P"
"Varios";"Iguales";"6431415";"D12FE130145K";"D12FE130145K"
"Varios";"Iguales";"6431430";"I18BC065485P";"I18BC065485P"
"Varios";"Iguales";"6431521";"I19MF917379N";"I19MF917379N"
"Varios";"Iguales";"6431524";"D13FE028558F";"D13FE028558F"
"Varios";"Iguales";"6431535";"I20BE032003O";"I20BE032003O"
"Varios";"Iguales";"6432724";"D14XF044090O";"D14XF044090O"
"Varios";"Iguales";"6432725";"D12FE134113S";"D12FE134113S"
"Varios";"Iguales";"6434297";"D11FE091647U";"D11FE091647U"
"Varios";"Iguales";"6434298";"D12FE130091N";"D12FE130091N"
"Varios";"Iguales";"6434299";"D11FE091646T";"D11FE091646T"
"Varios";"Iguales";"6436099";"D12FE130132F";"D12FE130132F"
"Varios";"Distintos";"6436100";"I16BE098625G";"I21BE026542E"
"Varios";"Iguales";"6436906";"D15UF047668F";"D15UF047668F"
"Varios";"Iguales";"6436974";"I20BC009604G";"I20BC009604G"
"Varios";"Iguales";"6437379";"D11TA835552C";"D11TA835552C"
"Varios";"Iguales";"6438510";"D12TC131714T";"D12TC131714T"
"Varios";"Iguales";"6438908";"D15FE046179S";"D15FE046179S"
"Varios";"Iguales";"6439676";"D12FE134066C";"D12FE134066C"
"Varios";"Iguales";"6439812";"D12TD123738L";"D12TD123738L"
"Varios";"Iguales";"6439814";"D16FE056071V";"D16FE056071V"
"Varios";"Iguales";"6439815";"D12TD123865R";"D12TD123865R"
"Varios";"Iguales";"6440330";"D16FE056078C";"D16FE056078C"
"Varios";"Iguales";"6440364";"D11TC061056I";"D11TC061056I"
"Varios";"Iguales";"6440370";"D10TB028995I";"D10TB028995I"
"Varios";"Iguales";"6440893";"D12FE134071Z";"D12FE134071Z"
"Varios";"Iguales";"6440894";"I18BC034332G";"I18BC034332G"
"Varios";"Iguales";"6441166";"D12FE130137K";"D12FE130137K"
"Varios";"Iguales";"6441169";"D12FE130173O";"D12FE130173O"
"Varios";"Iguales";"6441171";"D12FE130136J";"D12FE130136J"
"Varios";"Iguales";"6441172";"D12FE130160J";"D12FE130160J"
"Varios";"Iguales";"6441173";"D12FE130120B";"D12FE130120B"
"Varios";"Iguales";"6441174";"D12FE130151I";"D12FE130151I"
"Varios";"Iguales";"6441175";"D12FE130171M";"D12FE130171M"
"Varios";"Iguales";"6441354";"D12FE130127I";"D12FE130127I"
"Varios";"Iguales";"6441356";"D16UF026281L";"D16UF026281L"
"Varios";"Iguales";"6441467";"D15TC052752I";"D15TC052752I"
"Varios";"Iguales";"6441469";"D12FE130157O";"D12FE130157O"
"Varios";"Iguales";"6441473";"D14UF144126R";"D14UF144126R"
"Varios";"Iguales";"6441899";"D12TD123907K";"D12TD123907K"
"Varios";"Iguales";"6441902";"D10FE114428G";"D10FE114428G"
"Varios";"Iguales";"6441903";"D12FE134038Y";"D12FE134038Y"
"Varios";"Iguales";"6441924";"I20BB054946X";"I20BB054946X"
"Varios";"Iguales";"6442999";"D15TD045393T";"D15TD045393T"
"Varios";"Iguales";"6443818";"I19BD084607D";"I19BD084607D"
"Varios";"Iguales";"6443831";"I16BE098621C";"I16BE098621C"
"Varios";"Iguales";"6444397";"I18BB036356P";"I18BB036356P"
"Varios";"Iguales";"6444401";"I18BC034376S";"I18BC034376S"
"Varios";"Iguales";"6444403";"I18BB036438Q";"I18BB036438Q"
"Varios";"Iguales";"6444406";"D12FE134026U";"D12FE134026U"
"Varios";"Iguales";"6445155";"D12TD123809J";"D12TD123809J"
"Varios";"Iguales";"6449098";"D12FE134094G";"D12FE134094G"
"Varios";"Iguales";"6449099";"D12FE134095H";"D12FE134095H"
"Varios";"Iguales";"6449801";"D12FE134048A";"D12FE134048A"
"Varios";"Iguales";"6449803";"I18BC065849X";"I18BC065849X"
"Varios";"Iguales";"6449806";"I18BC065518H";"I18BC065518H"
"Varios";"Iguales";"6451307";"D12UF112761X";"D12UF112761X"
"Varios";"Iguales";"6451392";"D12TD123835L";"D12TD123835L"
"Varios";"Iguales";"6451505";"I16BE101720P";"I16BE101720P"
"Varios";"Iguales";"6451703";"I20BH009007A";"I20BH009007A"
"Varios";"Iguales";"6452755";"I19BB057576W";"I19BB057576W"
"Varios";"Iguales";"6453070";"D12FE130098U";"D12FE130098U"
"Varios";"Iguales";"6453255";"D12FE134099L";"D12FE134099L"
"Varios";"Iguales";"6453259";"D15UF047673C";"D15UF047673C"
"Varios";"Iguales";"6453283";"D12TD125387Q";"D12TD125387Q"
"Varios";"Iguales";"6453523";"D12FE044124U";"D12FE044124U"
"Varios";"Iguales";"6456677";"D13XG039931R";"D13XG039931R"
"Varios";"Iguales";"6456681";"D11TA835631A";"D11TA835631A"
"Varios";"Iguales";"6456682";"D13TC127098U";"D13TC127098U"
"Varios";"Iguales";"6456864";"D12TB014196I";"D12TB014196I"
"Varios";"Iguales";"6459510";"D11TC131476P";"D11TC131476P"
"Varios";"Iguales";"6461478";"I18BC047602A";"I18BC047602A"
"Varios";"Iguales";"6462152";"I16BE113376G";"I16BE113376G"
"Varios";"Iguales";"6462640";"D12TD123805F";"D12TD123805F"
"Varios";"Iguales";"6464310";"I18BB047669M";"I18BB047669M"
"Varios";"Iguales";"6465914";"D11TA801126J";"D11TA801126J"
"Varios";"Iguales";"6466823";"D12FE126309F";"D12FE126309F"
"Varios";"Iguales";"6466824";"D12FE126337J";"D12FE126337J"
"Varios";"Iguales";"6466825";"D12TD125326D";"D12TD125326D"
"Varios";"Iguales";"6467039";"D12FE134088I";"D12FE134088I"
"Varios";"Iguales";"6467040";"D11TA835536C";"D11TA835536C"
"Varios";"Iguales";"6467298";"D12FE134089J";"D12FE134089J"
"Varios";"Iguales";"6470504";"J20OA013358P";"J20OA013358P"
"Varios";"Iguales";"6472805";"D11TB017259J";"D11TB017259J"
"Varios";"Iguales";"6473003";"I20BD009967L";"I20BD009967L"
"Varios";"Iguales";"6473494";"J19OA154665U";"J19OA154665U"
"Varios";"Iguales";"6474329";"D16FE056076A";"D16FE056076A"
"Varios";"Iguales";"6475894";"I20BB039984N";"I20BB039984N"
"Varios";"Iguales";"6476819";"I16BE111358W";"I16BE111358W"
"Varios";"Iguales";"6477901";"D13TA607972R";"D13TA607972R"
"Varios";"Iguales";"6478559";"D12FE134017T";"D12FE134017T"
"Varios";"Iguales";"6481231";"D13TA607965S";"D13TA607965S"
"Varios";"Iguales";"6482295";"D11TA835353X";"D11TA835353X"
"Varios";"Iguales";"6483443";"D11TD104793D";"D11TD104793D"
"Varios";"Iguales";"6484593";"D13TA565057H";"D13TA565057H"
"Varios";"Iguales";"6489824";"D13TA560507S";"D13TA560507S"
"Varios";"Iguales";"6491890";"D11TA835625C";"D11TA835625C"
"Varios";"Iguales";"6495095";"I20BA061613R";"I20BA061613R"
"Varios";"Iguales";"6496230";"I18BC065873X";"I18BC065873X"
"Varios";"Iguales";"6496232";"D13TA608045R";"D13TA608045R"
"Varios";"Iguales";"6496354";"D13TB018501W";"D13TB018501W"
"Varios";"Iguales";"6500330";"D13TB015901W";"D13TB015901W"
"Varios";"Iguales";"6502323";"D12FE134036W";"D12FE134036W"
"Varios";"Iguales";"6503842";"I19BB001051B";"I19BB001051B"
"Varios";"Iguales";"6504565";"D13TA642550Z";"D13TA642550Z"
"Varios";"Iguales";"6505874";"D16IA005543Z";"D16IA005543Z"
"Varios";"Iguales";"6506989";"I20BC050626B";"I20BC050626B"
"Varios";"Iguales";"6506990";"D13TD008144E";"D13TD008144E"
"Varios";"Iguales";"6507780";"D12FE134015R";"D12FE134015R"
"Varios";"Iguales";"6507785";"D12FE134119Y";"D12FE134119Y"
"Varios";"Iguales";"6513888";"I19BB049078M";"I19BB049078M"
"Varios";"Iguales";"6515860";"D12TA544262N";"D12TA544262N"
"Varios";"Iguales";"6515865";"D11TB014805B";"D11TB014805B"
"Varios";"Iguales";"6523676";"D11TA835358C";"D11TA835358C"
"Varios";"Iguales";"6524125";"D16FE056113O";"D16FE056113O"
"Varios";"Iguales";"6525876";"I20BC035211S";"I20BC035211S"
"Varios";"Iguales";"6526963";"D11TA835553D";"D11TA835553D"
"Varios";"Iguales";"6528098";"I19BC081154C";"I19BC081154C"
"Varios";"Iguales";"6530198";"D11TA835352W";"D11TA835352W"
"Varios";"Iguales";"6533395";"D13TB014463R";"D13TB014463R"
"Varios";"Iguales";"6536623";"D12UF113339R";"D12UF113339R"
"Varios";"Iguales";"6543897";"D12FE130089T";"D12FE130089T"
"Varios";"Iguales";"6544813";"D11TA835640B";"D11TA835640B"
"Varios";"Iguales";"6547404";"D13TC094148E";"D13TC094148E"
"Varios";"Iguales";"6548037";"D16TD064902H";"D16TD064902H"
"Varios";"Iguales";"6548038";"I20BC064504N";"I20BC064504N"
"Varios";"Iguales";"6551656";"D16FE056080W";"D16FE056080W"
"Varios";"Iguales";"6552773";"I16BE098611A";"I16BE098611A"
"Varios";"Distintos";"6559630";"D12FE126393R";"I21BE010207P"
"Varios";"Iguales";"6560222";"D14TD075174Q";"D14TD075174Q"
"Varios";"Iguales";"6560231";"D13TA607970P";"D13TA607970P"
"Varios";"Iguales";"6564834";"D12FE134107U";"D12FE134107U"
"Varios";"Iguales";"6566294";"D13TA608044Q";"D13TA608044Q"
"Varios";"Iguales";"6566575";"D16FE056138X";"D16FE056138X"
"Varios";"Iguales";"6587228";"D12FE126365N";"D12FE126365N"
"Varios";"Iguales";"6587395";"D14TC106166K";"D14TC106166K"
"Varios";"Iguales";"6595270";"D13TB015902X";"D13TB015902X"
"Varios";"Iguales";"6596867";"D15TC079280J";"D15TC079280J"
"Varios";"Iguales";"6598500";"D12FE130117G";"D12FE130117G"
"Varios";"Iguales";"6598803";"D12FE130128J";"D12FE130128J"
"Varios";"Iguales";"6598925";"D12FE126370K";"D12FE126370K"
"Varios";"Iguales";"6605391";"I20BD055313O";"I20BD055313O"
"Varios";"Iguales";"6605396";"D13TC094149F";"D13TC094149F"
"Varios";"Iguales";"6606317";"D15FE046157M";"D15FE046157M"
"Varios";"Iguales";"6606724";"D15FE046189U";"D15FE046189U"
"Varios";"Iguales";"6611136";"D12FE134136Z";"D12FE134136Z"
"Varios";"Iguales";"6617012";"D13TA607971Q";"D13TA607971Q"
"Varios";"Iguales";"6617017";"D12FE134117W";"D12FE134117W"
"Varios";"Iguales";"6617582";"D12FE130126H";"D12FE130126H"
"Varios";"Iguales";"6617583";"D12FE134138B";"D12FE134138B"
"Varios";"Iguales";"6619213";"D11TB004352O";"D11TB004352O"
"Varios";"Iguales";"6619762";"D14FE043627A";"D14FE043627A"
"Varios";"Iguales";"6620509";"D11TA835538E";"D11TA835538E"
"Varios";"Iguales";"6620685";"D12FE134116V";"D12FE134116V"
"Varios";"Iguales";"6621311";"D13TA608047T";"D13TA608047T"
"Varios";"Iguales";"6629187";"D16FE056135U";"D16FE056135U"
"Varios";"Iguales";"6630537";"D12XG011052W";"D12XG011052W"
"Varios";"Iguales";"6632651";"D13TD022101F";"D13TD022101F"
"Varios";"Iguales";"6635590";"D12XG117352J";"D12XG117352J"
"Varios";"Iguales";"6636324";"D13XG002974L";"D13XG002974L"
"Varios";"Iguales";"6636326";"I19MG929376E";"I19MG929376E"
