"Contrato";"redim.Total";"redim.CCs";"redim.dif";"agg.Total";"agg.CCs";"agg.dif"
"6351960";128;128;0;128;128;0
"6353617";128;128;0;128;128;0
"6354706";128;128;0;128;128;0
"6355390";128;128;0;128;128;0
"6355405";128;128;0;128;128;0
"6357841";128;128;0;128;128;0
"6358872";128;128;0;128;128;0
"6361595";128;128;0;128;128;0
"6364682";128;128;0;128;128;0
"6369773";128;127;1;128;128;0
"6369836";128;127;1;128;128;0
"6373373";128;128;0;128;128;0
"6373376";128;128;0;128;128;0
"6373402";128;128;0;128;128;0
"6373577";128;128;0;128;128;0
"6373793";128;128;0;128;128;0
"6377862";128;128;0;128;128;0
"6378402";128;128;0;128;128;0
"6384426";128;127;1;128;128;0
"6391856";128;127;1;128;128;0
"6392760";128;128;0;128;128;0
"6394348";128;128;0;128;128;0
"6396185";128;127;1;128;128;0
"6396198";128;128;0;128;128;0
"6396344";71;71;0;72;72;0
"6396364";128;128;0;128;128;0
"6397734";128;128;0;128;128;0
"6398496";128;128;0;128;128;0
"6400127";128;128;0;128;128;0
"6400489";130;130;0;130;130;0
"6400989";130;130;0;130;130;0
"6400993";130;130;0;130;130;0
"6400994";130;130;0;130;130;0
"6401005";130;130;0;130;130;0
"6401855";130;130;0;130;130;0
"6402214";130;130;0;130;130;0
"6406085";128;127;1;128;128;0
"6406092";128;128;0;128;128;0
"6406280";128;128;0;128;128;0
"6409317";128;120;8;128;128;0
"6410146";128;128;0;128;128;0
"6412073";128;128;0;128;128;0
"6416024";128;127;1;128;128;0
"6416203";128;128;0;128;128;0
"6416226";128;128;0;128;128;0
"6422694";128;127;1;128;128;0
"6429112";128;128;0;128;128;0
"6429753";128;128;0;128;128;0
"6429769";128;128;0;128;128;0
"6429987";128;128;0;128;128;0
"6430564";128;128;0;128;128;0
"6430577";130;130;0;130;130;0
"6430918";128;128;0;128;128;0
"6431079";128;128;0;128;128;0
"6431097";128;128;0;128;128;0
"6431126";128;128;0;128;128;0
"6431127";128;128;0;128;128;0
"6431268";128;127;1;128;128;0
"6431273";130;130;0;130;130;0
"6431327";130;130;0;130;130;0
"6431331";128;128;0;128;128;0
"6431414";128;127;1;128;128;0
"6431415";128;128;0;128;128;0
"6431427";128;128;0;128;128;0
"6431521";128;127;1;128;128;0
"6431524";128;128;0;128;128;0
"6431535";128;127;1;128;128;0
"6432724";130;130;0;130;130;0
"6432725";128;128;0;128;128;0
"6434297";128;128;0;128;128;0
"6434298";128;128;0;128;128;0
"6434299";128;128;0;128;128;0
"6436099";128;128;0;128;128;0
"6436100";128;128;0;128;128;0
"6436906";128;128;0;128;128;0
"6436974";128;127;1;128;128;0
"6438510";128;128;0;128;128;0
"6438908";128;128;0;128;128;0
"6439676";128;128;0;128;128;0
"6439812";128;128;0;128;128;0
"6439813";128;128;0;128;128;0
"6439814";128;84;44;128;128;0
"6439815";128;128;0;128;128;0
"6440330";128;127;1;128;128;0
"6440364";128;128;0;128;128;0
"6440366";128;128;0;128;128;0
"6440893";128;128;0;128;128;0
"6440894";128;128;0;128;128;0
"6441166";128;128;0;128;128;0
"6441169";128;128;0;128;128;0
"6441171";128;128;0;128;128;0
"6441172";128;128;0;128;128;0
"6441173";128;128;0;128;128;0
"6441174";128;128;0;128;128;0
"6441354";128;128;0;128;128;0
"6441356";128;127;1;128;128;0
"6441467";128;128;0;128;128;0
"6441469";128;128;0;128;128;0
"6441473";128;128;0;128;128;0
"6441899";128;128;0;128;128;0
"6441902";128;128;0;128;128;0
"6441924";128;127;1;128;128;0
"6442236";22;22;0;22;22;0
"6443000";128;128;0;128;128;0
"6443006";128;128;0;128;128;0
"6443818";128;127;1;128;128;0
"6443831";128;128;0;128;128;0
"6444397";128;128;0;128;128;0
"6444401";128;128;0;128;128;0
"6444403";128;128;0;128;128;0
"6444406";128;128;0;128;128;0
"6444534";128;128;0;128;128;0
"6444851";128;128;0;128;128;0
"6445155";128;128;0;128;128;0
"6447936";130;130;0;130;130;0
"6449098";128;128;0;128;128;0
"6449099";128;128;0;128;128;0
"6449801";128;128;0;128;128;0
"6449803";128;128;0;128;128;0
"6449806";128;128;0;128;128;0
"6451307";128;128;0;128;128;0
"6451392";128;128;0;128;128;0
"6451505";128;128;0;128;128;0
"6451703";128;127;1;128;128;0
"6452755";128;126;2;128;128;0
"6453070";128;128;0;128;128;0
"6453255";128;128;0;128;128;0
"6453259";128;128;0;128;128;0
"6453279";44;44;0;45;45;0
"6453283";128;128;0;128;128;0
"6453523";130;130;0;130;130;0
"6456676";128;128;0;128;128;0
"6456677";128;128;0;128;128;0
"6456678";128;128;0;128;128;0
"6456681";128;128;0;128;128;0
"6456682";128;128;0;128;128;0
"6456864";128;128;0;128;128;0
"6457709";130;130;0;130;130;0
"6459510";128;128;0;128;128;0
"6461478";128;128;0;128;128;0
"6462152";130;130;0;130;130;0
"6462640";128;128;0;128;128;0
"6464310";128;128;0;128;128;0
"6466823";128;128;0;128;128;0
"6466824";128;128;0;128;128;0
"6466825";128;128;0;128;128;0
"6467039";128;128;0;128;128;0
"6467040";128;128;0;128;128;0
"6467298";128;128;0;128;128;0
"6470504";128;127;1;128;128;0
"6472805";128;128;0;128;128;0
"6473003";128;128;0;128;128;0
"6473494";130;129;1;130;130;0
"6474329";128;127;1;128;128;0
"6475894";128;127;1;128;128;0
"6476819";128;128;0;128;128;0
"6477901";128;128;0;128;128;0
"6478559";128;128;0;128;128;0
"6481231";128;128;0;128;128;0
"6482295";128;128;0;128;128;0
"6483443";130;130;0;130;130;0
"6484593";130;130;0;130;130;0
"6489824";130;130;0;130;130;0
"6491890";128;128;0;128;128;0
"6495095";128;127;1;128;128;0
"6496232";128;128;0;128;128;0
"6496354";130;130;0;130;130;0
"6500330";128;128;0;128;128;0
"6501672";130;130;0;130;130;0
"6502323";128;128;0;128;128;0
"6502668";128;128;0;128;128;0
"6503842";130;130;0;130;130;0
"6504565";128;128;0;128;128;0
"6505874";128;128;0;128;128;0
"6506989";130;129;1;130;130;0
"6506990";130;130;0;130;130;0
"6507780";128;128;0;128;128;0
"6507785";128;128;0;128;128;0
"6510170";128;128;0;128;128;0
"6513888";130;129;1;130;130;0
"6515860";128;128;0;128;128;0
"6515865";128;128;0;128;128;0
"6523676";128;128;0;128;128;0
"6524125";130;130;0;130;130;0
"6525295";130;130;0;130;130;0
"6525876";128;127;1;128;128;0
"6528098";128;127;1;128;128;0
"6530198";128;128;0;128;128;0
"6533395";128;128;0;128;128;0
"6536623";128;128;0;128;128;0
"6537194";91;91;0;92;92;0
"6543897";128;128;0;128;128;0
"6544813";128;128;0;128;128;0
"6547404";128;128;0;128;128;0
"6548037";128;128;0;128;128;0
"6548038";128;127;1;128;128;0
"6551656";128;127;1;128;128;0
"6552773";128;128;0;128;128;0
"6558924";128;128;0;128;128;0
"6559630";128;128;0;128;128;0
"6560222";128;128;0;128;128;0
"6560231";128;128;0;128;128;0
"6564834";128;128;0;128;128;0
"6566294";37;37;0;38;38;0
"6566575";128;127;1;128;128;0
"6568029";128;128;0;128;128;0
"6587228";128;128;0;128;128;0
"6587395";130;130;0;130;130;0
"6595270";128;128;0;128;128;0
"6596867";128;128;0;128;128;0
"6598500";128;128;0;128;128;0
"6598803";128;128;0;128;128;0
"6598925";128;128;0;128;128;0
"6598940";128;128;0;128;128;0
"6605391";128;127;1;128;128;0
"6605396";128;128;0;128;128;0
"6606317";128;128;0;128;128;0
"6606724";130;130;0;130;130;0
"6611136";128;128;0;128;128;0
"6617012";128;128;0;128;128;0
"6617017";128;128;0;128;128;0
"6617582";130;130;0;130;130;0
"6617583";130;130;0;130;130;0
"6619213";130;130;0;130;130;0
"6619762";128;128;0;128;128;0
"6620670";61;61;0;61;61;0
"6620685";128;128;0;128;128;0
"6626209";128;128;0;128;128;0
"6630537";128;128;0;128;128;0
"6632651";128;128;0;128;128;0
"6635588";128;128;0;128;128;0
"6635590";128;128;0;128;128;0
"6636324";128;128;0;128;128;0
"6636326";128;127;1;128;128;0
"6647357";128;128;0;128;128;0
