"Contrato";"Fecha_Min";"Fecha_Max";"Tiempo_Min";"Tiempo_Mean";"Tiempo_Max";"Consumo_Min";"Consumo_Max"
"6351960";2017-09-29;2021-07-26;2342;4149;694799;0;25160
"6353617";2017-09-29;2021-07-26;2989;5789;694817;-29649830;2033270
"6354706";2017-09-29;2021-07-26;2343;4975;132357;-4889501;1892310
"6355390";2017-09-29;2021-07-26;3431;15137;709186;0;5930
"6355405";2017-09-29;2021-07-26;3592;6026;46800;0;46110
"6357841";2017-09-29;2021-07-26;3016;12270;709187;0;14014
"6358872";2017-09-29;2021-07-23;3596;24132;7869452;-7336390;341820
"6358890";2018-12-03;2021-07-26;NA;NA;NA;0;0
"6361595";2017-09-29;2021-07-26;3126;6355;694809;0;36490
"6364682";2017-09-29;2021-07-26;2520;4244;694783;0;30130
"6369773";2017-09-29;2021-07-26;2708;4059;694775;-20257390;4640
"6369836";2017-09-29;2021-07-26;3597;35183;694786;-1100302;10420
"6373373";2017-09-29;2021-07-26;NA;NA;NA;0;3213
"6373376";2017-09-29;2021-07-26;3580;41808;1238350;0;6600
"6373402";2017-09-29;2021-07-26;3582;21692;7534870;0;410690
"6373577";2017-09-29;2021-07-25;3582;4926;709208;0;269870
"6373793";2017-09-29;2021-07-26;3592;6209;723584;0;89700
"6377862";2017-09-29;2021-07-25;3600;27601;248396;0;7471
"6377878";2017-09-29;2019-04-29;3599;6631;32398;0;8578
"6378402";2017-09-29;2021-07-26;2348;4431;694801;0;37830
"6384426";2017-09-29;2021-07-26;2797;3985;694807;-12415904;23009
"6386652";2017-09-29;2021-07-26;2981;4098;694783;-1102;42306
"6391847";2017-09-29;2021-07-26;3300;3841;18032;0;8070
"6391856";2017-09-29;2021-07-26;4;4874;694791;-18691390;51680
"6392760";2017-09-29;2021-07-26;2508;12573;694771;-300;58910
"6393621";2018-10-23;2021-07-25;3589;24847;190800;0;117
"6394348";2017-09-29;2021-07-26;3268;4520;694798;0;28300
"6396185";2017-09-29;2021-07-26;2428;7131;363595;-24671450;4549820
"6396198";2017-09-29;2021-07-26;2391;4120;708479;-23681321;25090
"6396344";2020-04-22;2021-07-26;2558;5412;694798;0;9172
"6396364";2017-09-29;2021-07-26;2365;4506;694780;-10;48160
"6397734";2017-09-29;2021-07-26;3055;5127;708340;-20;597660
"6397830";2017-09-29;2021-07-26;90032;90032;90032;-601212;23
"6398496";2017-09-29;2021-07-26;3086;4287;694801;0;14890
"6400127";2017-10-13;2021-07-25;3585;58310;22493164;-14864450;1021320
"6400489";2018-09-20;2021-07-26;3590;3776;694794;0;227720
"6400759";2017-11-03;2021-07-25;2982;5413;694781;0;14278
"6400989";2018-08-03;2021-06-23;NA;NA;NA;0;20
"6400993";2017-09-29;2021-07-26;3600;3600;3600;-1;0
"6400994";2017-09-29;2021-07-26;3586;3684;18004;0;1930
"6400997";2017-09-29;2021-07-26;3585;7661;723608;-8426174;24840
"6401005";2017-09-29;2021-07-26;3585;5361;694807;0;63749
"6401855";2017-09-29;2021-07-26;3583;4259;694769;-112564053;146874
"6402165";2020-08-17;2021-07-25;NA;NA;NA;0;0
"6402168";2020-08-17;2021-07-26;3600;3600;3600;0;2
"6402171";2020-08-17;2021-07-26;NA;NA;NA;0;0
"6402172";2020-08-17;2021-07-25;NA;NA;NA;0;0
"6402214";2017-09-29;2021-07-26;3597;6633;1493176;-10;1608210
"6406085";2017-09-29;2021-07-26;3596;4378;694782;-18241371;67410
"6406092";2017-09-29;2021-07-25;3592;4973;46801;0;52140
"6406280";2017-10-04;2021-07-26;752396;1443606;2134816;0;88780
"6409317";2018-07-14;2021-07-23;3600;452030;28082136;-2123759;139740
"6410146";2017-09-29;2021-07-26;3579;5228;89998;-1742234;8920
"6412073";2017-09-29;2021-07-25;60;1483;3711600;-254;2293773
"6414872";2018-08-26;2019-07-21;3600;114614;1414752;0;313337
"6416024";2017-09-29;2021-07-25;3596;39482;694802;-6288370;295190
"6416203";2017-09-29;2021-07-26;3600;77738;2059138;0;102992
"6416226";2017-09-29;2021-05-30;2625;8348;694801;0;30930
"6420135";2017-09-29;2021-07-25;4;135085;38744634;-1311471;5054
"6422694";2017-09-29;2021-07-26;3357;4420;46805;-8500110;6580
"6429112";2017-09-29;2021-07-26;2355;39834;1800018;0;77790
"6429753";2017-09-29;2021-07-26;3595;9088;709175;0;65669
"6429769";2017-09-29;2021-07-26;3468;3755;694814;-4983617;4986091
"6429916";2017-09-29;2021-07-26;3599;3880;46797;-3246631;4902
"6429987";2017-09-29;2021-07-26;2718;7042;694791;0;9033
"6430007";2017-09-29;2021-07-25;3597;10111;118799;0;13802
"6430564";2017-09-29;2021-07-26;3593;9633;694785;0;6680
"6430577";2017-09-29;2021-07-26;3049;4075;694814;0;47010
"6430918";2017-09-29;2021-07-26;2654;3768;133192;0;12936
"6431079";2017-09-29;2021-07-26;2438;6971;118802;0;6480
"6431097";2018-12-20;2021-07-26;3600;3600;3600;0;10
"6431126";2017-09-29;2021-07-26;3377;4147;709193;-9981440;164220
"6431127";2017-09-29;2021-07-26;3192;4588;694808;-9;8619
"6431268";2017-09-29;2021-07-26;3582;4362;694815;-12113670;29900
"6431273";2017-09-29;2021-07-26;3538;3711;118809;-100;4211010
"6431327";2017-09-29;2021-07-26;3587;4007;694816;-17895670;159716
"6431331";2017-11-13;2021-07-26;2613;62203;997189;-2981790;33275
"6431414";2017-09-29;2021-07-26;3565;6127;694803;-19333231;33320
"6431415";2017-09-29;2021-07-26;2416;6531;694790;0;1046370
"6431427";2019-01-15;2021-07-26;3086;3972;694781;0;13038
"6431430";2017-09-29;2021-07-26;3597;28233;709177;-3219912;57193
"6431521";2017-09-29;2021-07-26;2555;5674;161998;-25169660;167570
"6431524";2017-09-29;2021-07-26;3142;3770;694819;0;33730
"6431535";2017-09-29;2021-07-26;3597;17368;781197;-12466170;218730
"6432723";2017-09-29;2021-07-26;2362;8232;694771;-1;1486
"6432724";2017-09-29;2021-07-26;3588;4085;61204;-230;77220
"6432725";2017-09-29;2021-07-26;2521;4383;694789;-40;39900
"6434297";2018-04-27;2021-07-25;1728;13787;682408;-350;113180
"6434298";2017-09-29;2021-07-25;3554;6637;824375;0;32163
"6434299";2017-09-29;2021-07-25;3595;9114;694780;-20;57380
"6436097";2017-09-29;2019-02-07;3600;3600;3600;0;16240
"6436099";2017-09-29;2021-07-26;2420;117010;550790;-1300;35590
"6436100";2019-01-13;2021-07-26;3596;19042;375164;-18110;3080
"6436906";2017-09-29;2021-07-26;2437;5389;694782;-472041;4240
"6436974";2017-09-29;2021-07-26;3590;11054;709190;-5080383;6710
"6437379";2017-09-29;2021-07-26;3599;77578;1155578;0;12606
"6438510";2017-11-16;2021-07-26;3301;6968;694814;0;216962
"6438908";2017-09-29;2021-07-26;3594;48409;1558770;0;120030
"6439676";2017-09-29;2021-07-26;3368;5572;694806;0;300290
"6439812";2019-04-16;2021-07-26;3577;9805;694821;0;3353
"6439813";2017-09-29;2021-07-26;2971;4263;694816;0;282160
"6439814";2017-09-29;2021-07-26;3528;55103;18368398;-15761700;943380
"6439815";2018-07-05;2021-07-25;2395;23876;766813;-9;16754
"6440330";2017-09-29;2021-07-26;3596;5630;694785;-42853876;5230
"6440364";2017-09-29;2021-07-26;3408;4048;694821;0;80714
"6440366";2017-11-16;2021-07-25;NA;NA;NA;0;1733
"6440370";2017-09-29;2021-07-26;2146;4898;694781;0;3384
"6440893";2017-09-30;2021-07-25;3584;82790;8657816;0;429830
"6440894";2017-10-01;2021-07-26;3593;18619;723581;-2199632;9637
"6441166";2017-09-29;2021-07-26;3598;24285;694781;0;2520
"6441169";2017-09-29;2021-07-26;3600;5982;117847;0;108030
"6441171";2017-10-23;2021-07-26;3596;15868;709177;0;1700
"6441172";2017-09-29;2021-07-25;3592;14512;694791;0;7900
"6441173";2017-09-29;2021-07-26;3600;28109;694782;0;9120
"6441174";2017-09-29;2021-07-26;3592;6948;694789;0;1150
"6441175";2017-09-29;2021-07-26;3583;19900;147585;0;45810
"6441232";2017-09-29;2019-08-21;3600;73774;1385989;0;14090
"6441236";2017-09-29;2020-10-05;3579;10524;118783;0;32590
"6441237";2018-06-01;2021-07-26;NA;NA;NA;0;0
"6441354";2017-09-29;2021-07-26;2553;8320;694770;0;7640
"6441356";2017-09-29;2021-07-26;2902;3880;694805;-12236460;164880
"6441467";2017-09-29;2021-07-26;3596;22672;694792;-1;4843
"6441469";2017-09-29;2021-07-26;3571;4529;75598;0;7520
"6441473";2017-09-29;2021-07-26;3596;15808;234242;-1903863;4680
"6441899";2017-10-01;2021-07-26;2336;16472;680381;-1;21595
"6441902";2017-09-29;2021-07-25;3600;2868405;31567702;0;140320
"6441903";2017-09-29;2021-07-26;2833;4643;694799;0;69080
"6441924";2017-09-30;2021-07-26;3315;32241;910761;-3006838;7352
"6442236";2021-01-04;2021-05-11;NA;NA;NA;0;0
"6442999";2017-09-29;2021-07-26;3596;9478;694783;-203;82787
"6443000";2017-09-29;2021-07-26;3598;28776;694779;0;9820
"6443006";2018-12-18;2021-07-26;3600;3600;3600;0;1
"6443729";2017-10-07;2018-10-10;NA;NA;NA;0;87636
"6443818";2018-11-19;2021-07-26;3435;8465;709179;-6548793;46273
"6443831";2017-09-29;2021-07-26;2696;3991;694799;-6171240;6040
"6444397";2017-09-29;2021-07-26;32402;1108001;3859104;-1324196;20775
"6444401";2017-09-29;2021-07-26;3390;4412;694903;-2154250;12288
"6444403";2017-09-29;2021-07-26;3596;7788;680383;-1980289;3546
"6444406";2017-10-17;2021-07-26;3188;8177;694808;0;52830
"6444534";2017-09-29;2021-07-26;3582;9691;968377;0;781900
"6444851";2017-09-29;2021-07-26;2455;3905;46798;0;5479
"6445155";2017-09-29;2021-07-26;2382;10391;2080764;-4;106149
"6447936";2019-01-15;2021-07-26;3591;5170;32397;0;1560
"6449098";2017-09-29;2021-07-26;3596;5730;694781;-10;9690
"6449099";2017-10-04;2021-07-25;3336;31309;1083578;0;369190
"6449801";2017-09-29;2021-07-26;2409;18780;781182;0;7050
"6449803";2017-09-29;2021-07-26;3566;10420;694806;-2053718;5878
"6449806";2017-09-29;2021-07-26;3591;12054;694783;-7843009;19480
"6451307";2017-09-29;2021-07-26;2362;4543;694810;-48424855;40190
"6451392";2017-09-29;2021-07-26;3458;5958;1097983;-13;20327
"6451505";2017-09-29;2021-07-25;3459;5188;694720;-4097840;2413900
"6451703";2017-09-29;2021-07-25;3511;8702;694784;-9136469;21200
"6452755";2017-10-10;2021-07-25;2633;149739;6195667;-1845584;63857
"6453067";2021-01-13;2021-07-25;3053;27135;690909;0;1604
"6453070";2017-09-29;2021-06-20;2337;5707;694791;0;8890
"6453255";2017-09-29;2021-07-26;3599;5501;32400;-10;7220
"6453259";2017-09-29;2021-07-25;2418;16142;694618;-2969455;29610
"6453279";2020-09-02;2021-07-25;3561;78410;724327;0;1727
"6453281";2020-09-02;2021-07-26;2923;12102;694590;0;1584
"6453283";2017-09-29;2021-07-25;2758;11913;708405;0;20765
"6453523";2017-09-29;2021-07-26;3590;3702;18012;-30;14410
"6456676";2017-09-29;2021-07-26;3597;52591;694790;0;26690
"6456677";2017-09-29;2021-07-26;3546;11798;219593;0;72410
"6456678";2017-10-03;2021-07-26;3598;267920;7376248;-326;261290
"6456679";2017-09-29;2021-07-25;2135;13979;694775;-560;107300
"6456680";2017-09-29;2020-11-11;3523;55525;363975;-10;32540
"6456681";2017-09-29;2021-07-26;3147;6081;723588;-3;2198
"6456682";2017-09-29;2021-07-26;3520;24823;3387497;0;74373
"6456864";2017-09-29;2021-07-26;3559;3913;118799;0;3642
"6457709";2017-09-29;2021-07-18;3593;158297;9759681;0;1175714
"6459510";2017-09-29;2021-07-26;2471;20075;723004;-79;74428
"6461478";2017-09-29;2021-07-26;2521;4305;722741;-16613246;20199
"6462152";2017-09-29;2021-07-26;3574;4108;723598;-22900150;341410
"6462640";2017-09-29;2021-07-26;2397;4357;694807;-35;26031
"6464310";2017-09-30;2021-07-26;3366;14655;1760353;-8170574;46369
"6465914";2017-09-29;2021-07-26;3600;3600;3600;0;2
"6466823";2017-09-29;2021-07-26;3452;12589;161997;0;8460
"6466824";2017-09-29;2021-07-26;3598;10544;190796;-200;4080
"6466825";2017-09-29;2021-07-26;2333;8733;694784;0;3854
"6467039";2017-09-29;2021-07-26;3303;3959;694783;0;80110
"6467040";2017-09-29;2021-07-26;3561;11277;696943;0;9672
"6467298";2017-09-29;2021-07-26;3226;20119;2491131;-10;75410
"6470504";2017-09-29;2021-07-26;2427;6297;2131746;-4719242;65536
"6472805";2017-09-29;2021-07-26;3467;3862;75604;-198;20599
"6472973";2018-12-03;2020-08-06;3588;40342;35714712;0;232920
"6473003";2017-09-29;2021-07-26;3600;15319;248393;-7586010;29938
"6473494";2017-09-29;2021-07-26;3470;9293;709183;-1633323;8608
"6474329";2017-09-29;2021-07-26;3585;4960;694784;-10225915;1700120
"6475894";2017-09-29;2021-07-26;586;9616;698402;-8693452;197866
"6476819";2017-09-29;2021-07-26;2425;4089;118805;-19684767;13700
"6477901";2017-09-29;2021-07-26;3440;5278;694798;-3;20540
"6478559";2017-10-01;2021-07-26;3593;571916;8111589;0;127600
"6481230";2017-09-29;2018-09-23;NA;NA;NA;0;0
"6481231";2017-09-29;2021-07-21;3592;141364;637271;0;130574
"6482295";2017-09-29;2021-07-26;3598;219787;4903033;0;80197
"6483443";2018-10-15;2021-07-26;3590;4141;1278850;-1444073;1510950
"6484593";2017-09-29;2021-07-26;3584;24494;25053515;-376;958050
"6489824";2017-11-02;2021-07-26;3596;9123;824376;-619;67434
"6491890";2017-09-29;2021-07-26;3290;30587;1040369;-232;26534
"6495095";2017-09-29;2021-07-25;2;5125;709185;-7276453;32424
"6496230";2017-09-29;2021-07-26;3586;3817;18002;-2503370;3800
"6496232";2017-10-10;2021-07-26;3597;96478;5230744;0;92796
"6496354";2017-09-29;2021-07-26;3583;3806;694805;0;11276
"6500330";2017-09-29;2021-07-26;3552;4915;694810;0;4250
"6501672";2017-11-02;2021-07-26;3245;7127;694781;0;14000
"6502323";2017-09-29;2021-07-25;3600;7878176;27636633;0;1081240
"6502668";2018-08-21;2021-07-26;3005;12439;867572;0;39805
"6503842";2017-09-29;2021-07-26;3584;5063;694813;-11796450;7632
"6504565";2017-09-29;2021-07-26;3547;3905;32407;0;14246
"6505874";2017-10-01;2021-07-16;3596;113632;7577903;0;62614
"6506989";2017-09-29;2021-07-26;3289;4929;709207;-2417157;14811
"6506990";2017-09-29;2021-07-26;3334;3656;18002;-2;12805
"6507780";2017-09-29;2021-07-26;2527;5160;694810;0;17420
"6507785";2017-09-29;2021-07-26;2443;3932;694823;0;4021580
"6510170";2017-10-12;2021-07-26;3595;20052;6944195;0;55196
"6513165";2017-09-29;2018-10-08;NA;NA;NA;0;12710
"6513888";2017-09-29;2021-07-26;3595;39999;10987045;-10637323;233577
"6515860";2018-04-11;2021-07-25;3600;484661;9809727;0;242920
"6515865";2017-09-29;2021-06-15;3598;24826;377990;0;7133
"6523676";2017-09-29;2021-07-26;2883;3832;61200;0;4994
"6524125";2017-09-29;2021-07-26;3595;12720;190795;-12124022;21270
"6525295";2017-09-29;2021-07-26;3591;3905;32394;0;11660
"6525664";2017-09-29;2020-07-02;900;49371;11811931;-94878910;624060
"6525876";2017-09-29;2021-07-26;2738;3780;694808;-9027577;24324
"6526565";2017-10-02;2020-06-17;3586;21280;334790;0;4570
"6526963";2017-09-29;2021-07-26;3600;10895;5680819;0;14851
"6528098";2017-09-29;2021-07-26;2659;3996;718673;-32934435;975032
"6529935";2018-01-13;2018-04-25;NA;NA;NA;0;13978
"6530198";2017-09-29;2021-07-26;3579;4754;118792;0;3278
"6533395";2017-09-29;2021-07-26;2353;3710;694806;0;38915
"6536623";2017-09-29;2021-07-26;2484;4449;694800;0;39480
"6537194";2020-01-13;2021-07-26;3586;13700;593996;0;5576
"6543897";2017-11-28;2021-07-26;3457;96095;4207356;0;1031240
"6544813";2017-09-29;2021-07-26;3003;5425;694813;0;3283
"6547403";2017-09-29;2020-10-08;2524;7190;133198;-30;67460
"6547404";2017-09-29;2021-07-26;2647;4776;694795;0;33231
"6548037";2017-09-29;2021-07-26;3061;4493;694810;-11669360;24662
"6548038";2017-09-29;2021-07-26;3197;4362;694805;-8823038;45577
"6551656";2017-09-29;2021-07-26;2571;5628;709197;-24033730;20800
"6552773";2017-09-29;2021-07-26;3343;4802;694821;-25869290;47790
"6558924";2017-09-29;2021-07-26;2349;4026;694565;0;681830
"6559630";2017-09-29;2021-07-26;3365;15988;723581;0;504450
"6560222";2017-09-29;2021-07-26;2530;4029;694788;0;55998
"6560231";2017-09-29;2021-07-26;2382;3831;694732;0;27712
"6561597";2017-09-29;2018-06-27;NA;NA;NA;0;10171
"6562156";2017-09-29;2019-04-18;3598;43199;205196;-1;8866
"6564834";2017-09-29;2021-07-26;2379;3714;694806;-160;43320
"6566294";2020-10-08;2021-07-26;3586;4105;17999;0;7109
"6566575";2017-09-29;2021-07-26;3079;4563;536402;-27760124;47950
"6568029";2018-05-17;2021-07-26;3587;6398;32400;0;10660
"6587228";2017-09-29;2021-07-26;2888;3951;694809;0;40800
"6587395";2017-09-29;2021-07-26;3591;5630;709176;-1;1434935
"6595270";2017-09-29;2021-07-26;3523;4759;694807;0;21475
"6596867";2017-09-29;2021-07-26;3361;3720;18004;0;440961
"6598500";2017-09-29;2021-07-26;3130;3851;32398;0;37340
"6598803";2017-09-29;2021-07-26;3555;4039;694813;0;14030
"6598925";2017-09-29;2021-07-26;2625;3961;694807;0;31530
"6598940";2017-09-29;2021-07-26;2879;4058;694806;0;26640
"6603717";2018-09-01;2020-02-05;NA;NA;NA;0;2882
"6605391";2017-09-29;2021-07-26;3586;8740;14126088;-14164456;33047
"6605396";2017-09-30;2021-07-26;1851;4562;723578;-2;4030013
"6606317";2017-09-29;2021-07-26;89996;89996;89996;-2879304;15110
"6606724";2017-11-02;2021-07-02;3596;5796;104398;0;115670
"6611136";2017-09-29;2021-07-26;3257;4350;694810;-10;433310
"6617012";2017-09-29;2021-07-26;3476;5107;694777;0;10521
"6617017";2017-09-29;2021-07-26;2368;3688;694807;0;89400
"6617582";2017-09-29;2021-07-26;3449;6997;694805;0;38950
"6617583";2017-09-29;2021-07-26;3472;5193;694814;0;33170
"6619213";2017-09-29;2021-07-25;3600;209903;1706368;0;895
"6619762";2017-09-29;2021-07-26;3236;8935;737975;0;95580
"6620509";2017-09-29;2021-07-26;3596;4944;694770;0;3567
"6620670";2020-06-13;2021-07-26;3589;51669;3873511;0;826
"6620685";2017-09-29;2021-07-26;3082;3749;694807;0;217330
"6621311";2017-09-29;2021-07-26;2389;11289;403976;-711;75747
"6626209";2017-09-29;2021-07-26;900;2992;1409610;-860;964870
"6629187";2017-09-29;2021-07-26;2476;4090;694810;-14575350;74230
"6630537";2017-09-29;2021-07-26;3014;3843;694806;-10;63170
"6632651";2017-09-29;2021-07-26;2519;4536;1860575;0;354207
"6635588";2017-09-29;2021-06-08;2535;5008;694780;0;275660
"6635590";2017-09-29;2021-07-26;3515;120183;2134743;0;97050
"6636324";2017-09-29;2021-07-26;2352;3783;694805;-20;120820
"6636326";2017-09-29;2021-07-26;3114;3701;694815;-125190300;1434650
"6647357";2017-09-29;2021-07-25;3593;4799;1256391;0;8628111
